Altium Designer Pick and Place Locations
C:\Users\OTM1CLJ\Desktop\BFMC Car-PWR Board\B sample\Altium Project\B_sample_BFMC\Project Outputs for B_sample_BFMC\Pick Place for PWR_BOard_final.txt

========================================================================================================================
File Design Information:

Date:       26/09/23
Time:       14:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator      Comment               Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                
D6              SZBZX84C18ET1G        BottomLayer SOT95P230X110-3N           2580.000      1440.000      180      "Zener Diode"              
Q13             SQD50P04-09L_GE3      BottomLayer SQD50P0409L_GE3            2221.653      1105.000      270      "MOSFET (P-Channel)"       
Q12             SQD50P04-09L_GE3      BottomLayer SQD50P0409L_GE3            1740.000      1241.653      0        "MOSFET (P-Channel)"       
R31             MCR03..PFX1002        TopLayer    RESC1608X55N               2040.000      195.000       0        Resistor                   
R25             MCR03..PFX1002        BottomLayer RESC1608X55N               2365.000      1495.000      180      Resistor                   
R24             MCR03..PFX1002        BottomLayer RESC1608X55N               1795.000      1485.000      180      Resistor                   
Q2              BC846B                TopLayer    SOT95P230X110-3N           2170.906      1314.998      180      "NPN Bipolar Transistor"   
TP51            TP                    TopLayer    TEST_POINT0.5X0.5          1510.000      345.000       90       ""                         
TP?             TP                    TopLayer    TEST_POINT0.5X0.5          1730.906      339.998       90       ""                         
TP50            TP                    TopLayer    TEST_POINT0.5X0.5          2300.000      1320.000      90       ""                         
TP38            TP                    BottomLayer TEST_POINT0.5X0.5          2050.000      1685.000      90       ""                         
TP37            TP                    TopLayer    TEST_POINT0.5X0.5          1380.000      1210.000      90       ""                         
TP36            TP                    TopLayer    TEST_POINT0.5X0.5          1110.906      1044.998      90       ""                         
TP35            TP                    TopLayer    TEST_POINT0.5X0.5          1105.906      1469.998      90       ""                         
TP34            TP                    BottomLayer TEST_POINT0.5X0.5          2685.000      1685.000      90       ""                         
TP33            TP                    TopLayer    TEST_POINT0.5X0.5          2275.000      1065.000      90       ""                         
TP32            TP                    TopLayer    TEST_POINT0.5X0.5          1750.906      504.998       90       ""                         
TP31            TP                    TopLayer    TEST_POINT0.5X0.5          1960.000      195.000       90       ""                         
TP30            TP                    TopLayer    TEST_POINT0.5X0.5          2220.906      299.998       90       ""                         
TP29            TP                    TopLayer    TEST_POINT0.5X0.5          2290.906      674.998       90       ""                         
TP28            TP                    TopLayer    TEST_POINT0.5X0.5          1880.906      774.998       90       ""                         
TP27            TP                    TopLayer    TEST_POINT0.5X0.5          720.906       1524.998      90       ""                         
TP26            TP                    TopLayer    TEST_POINT0.5X0.5          790.906       1424.998      90       ""                         
TP25            TP                    TopLayer    TEST_POINT0.5X0.5          865.906       1424.998      90       ""                         
TP24            TP                    TopLayer    TEST_POINT0.5X0.5          970.000       1385.000      90       ""                         
TP23            TP                    TopLayer    TEST_POINT0.5X0.5          675.906       1119.998      90       ""                         
TP22            TP                    TopLayer    TEST_POINT0.5X0.5          960.000       1060.000      90       ""                         
TP21            TP                    TopLayer    TEST_POINT0.5X0.5          860.906       919.998       90       ""                         
TP20            TP                    TopLayer    TEST_POINT0.5X0.5          1400.000      775.000       90       ""                         
